prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,8,128,0.738000
0,0,8,256,3.512667
0,0,8,512,5.090000
0,0,8,1024,13.928000
0,0,8,2048,30.192000
0,0,16,128,0.966667
0,0,16,256,5.344000
0,0,16,512,16.073333
0,0,16,1024,33.190667
0,0,16,2048,65.916000
0,0,32,128,4.793333
0,0,32,256,13.352000
0,0,32,512,30.429333
0,0,32,1024,63.154667
0,0,32,2048,124.868000
0,0,64,128,12.663000
0,0,64,256,29.461183
0,0,64,512,67.776367
0,0,64,1024,139.485450
0,0,64,2048,284.681450
0,0,128,128,16.772500
0,0,128,256,62.078783
0,0,128,512,167.443917
0,0,128,1024,354.879917
0,0,128,2048,729.751917
128,128,0,0,2.830667
256,256,0,0,6.815333
512,512,0,0,18.586000
1024,1024,0,0,60.877333
2048,2048,0,0,322.846000
